city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,coahuayana,18.73,-103.68,82.4,48,20,8.05,MX,1604513169
289,venice,27.1,-82.45,82.4,51,40,16.11,US,1604513103
290,san jeronimo,-11.95,-75.28,61.93,44,49,5.3,PE,1604513169
291,usolye,59.43,56.68,33.01,100,100,1.01,RU,1604513169
292,pontes e lacerda,-15.23,-59.34,100.58,14,15,8.32,BR,1604513169
293,oshnaviyeh,37.04,45.1,51.8,93,40,2.24,IR,1604513006
294,ilulissat,69.22,-51.1,28.4,68,75,17.22,GL,1604513166
295,zmeinogorsk,51.16,82.19,24.6,93,100,12.86,RU,1604513170
296,gat,31.61,34.76,68.0,21,8,1.99,IL,1604513170
297,ucluelet,48.93,-125.55,54.0,100,90,14.99,CA,1604512914
298,altar,30.7,-111.82,84.99,35,98,1.01,MX,1604513170
299,pitimbu,-7.47,-34.81,86.0,62,40,12.75,BR,1604513170
300,paldiski,59.36,24.05,46.0,93,75,11.41,EE,1604513101
301,vetluga,57.86,45.78,40.71,95,100,5.55,RU,1604513170
302,cururupu,-1.83,-44.87,88.14,57,93,8.41,BR,1604513170
303,ippy,6.27,21.22,74.68,75,14,3.36,CF,1604513171
304,puerto baquerizo moreno,-0.9,-89.6,75.2,73,75,10.29,EC,1604513171
305,moratuwa,6.77,79.88,75.2,94,20,4.43,LK,1604513171
306,morgan city,29.7,-91.21,75.99,49,1,4.68,US,1604512909
307,ancud,-41.87,-73.82,55.99,87,75,19.46,CL,1604513171
308,harper,4.38,-7.72,79.92,85,69,7.4,LR,1604513171
309,novo aripuana,-5.12,-60.38,92.17,46,92,4.52,BR,1604513171
310,spas-demensk,54.41,34.02,41.0,94,40,6.02,RU,1604512919
311,stranraer,54.9,-5.03,48.2,76,78,5.82,GB,1604513171
312,tiznit,29.58,-9.5,64.44,62,100,5.48,MA,1604513171
313,ilo,-17.64,-71.34,71.6,68,0,12.75,PE,1604513172
314,kahului,20.89,-156.47,78.01,73,20,5.82,US,1604513172
315,krasnogorodsk,56.84,28.28,45.86,89,98,9.1,RU,1604513172
316,luanda,-8.84,13.23,78.8,78,40,9.17,AO,1604513066
317,vila franca do campo,37.72,-25.43,59.0,77,40,11.41,PT,1604513172
318,taltal,-25.4,-70.48,63.97,61,57,7.74,CL,1604513172
319,naples park,26.26,-81.81,84.2,45,20,18.34,US,1604513172
320,ayaviri,-14.89,-70.59,61.72,30,38,6.89,PE,1604513172
321,umkomaas,-30.21,30.8,73.99,92,100,5.97,ZA,1604513172
322,bonoua,5.27,-3.6,84.2,79,40,8.05,CI,1604513172
323,mezen,65.85,44.24,38.77,86,87,8.9,RU,1604513173
324,thessalon,46.25,-83.57,59.0,54,1,6.93,CA,1604513173
325,douentza,15.0,-2.95,89.33,17,36,5.46,ML,1604513173
326,salur,18.53,83.22,74.53,82,95,2.44,IN,1604513173
327,kalmunai,7.42,81.82,79.63,77,93,1.79,LK,1604513173
328,rivadavia,-33.19,-68.46,89.6,17,0,9.17,AR,1604513174
329,imbituba,-28.24,-48.67,68.0,64,40,19.46,BR,1604513174
330,bonthe,7.53,-12.51,81.01,81,56,6.89,SL,1604513174
331,likasi,-10.98,26.73,68.43,78,76,8.63,CD,1604513174
332,san quintin,30.48,-115.95,74.86,50,37,8.08,MX,1604513174
333,lago da pedra,-4.33,-45.17,87.73,60,83,3.83,BR,1604513174
334,chapais,49.78,-74.85,23.0,92,90,8.05,CA,1604512961
335,catabola,-12.15,17.28,67.46,67,52,3.15,AO,1604513174
336,tautira,-17.73,-149.15,80.6,78,40,14.99,PF,1604513174
337,abu kamal,34.45,40.92,72.81,42,100,7.56,SY,1604513174
338,talnakh,69.49,88.4,-0.4,84,0,6.71,RU,1604513174
339,camana,-16.62,-72.71,71.33,58,23,9.69,PE,1604513174
340,ponoka,52.68,-113.58,48.99,57,75,4.7,CA,1604513174
341,vadso,70.07,29.75,39.2,80,40,19.46,NO,1604513175
342,praia da vitoria,38.73,-27.07,60.8,67,75,16.82,PT,1604513175
343,kalulushi,-12.84,28.09,77.0,64,67,4.0,ZM,1604513176
344,nkhata bay,-11.61,34.29,78.76,53,14,1.45,MW,1604513176
345,surgut,61.25,73.42,35.6,100,40,15.66,RU,1604513176
346,adrar,20.5,-10.07,86.59,13,31,4.68,MR,1604513176
347,jagdalpur,19.07,82.03,67.48,88,5,3.31,IN,1604513176
348,bila tserkva,49.81,30.11,45.21,86,0,4.18,UA,1604513176
349,freeport,40.66,-73.58,62.01,51,1,12.75,US,1604513103
350,synya,65.37,58.04,37.98,96,99,8.16,RU,1604513176
351,rancho palos verdes,33.74,-118.39,73.99,60,5,3.71,US,1604513176
352,hargeysa,9.56,44.06,63.45,89,1,10.83,SO,1604513120
353,olinda,-8.01,-34.86,87.8,58,40,11.41,BR,1604513177
354,bubaque,11.28,-15.83,84.36,73,22,11.32,GW,1604513177
355,terrace,54.52,-128.6,37.4,100,75,4.7,CA,1604513116
356,cabo rojo,18.09,-67.15,87.01,68,86,7.0,PR,1604513177
357,oussouye,12.48,-16.55,89.6,66,20,4.7,SN,1604513177
358,asilah,35.47,-6.03,64.4,72,75,10.29,MA,1604513178
359,panaba,21.28,-88.27,80.55,79,99,20.11,MX,1604513178
360,awjilah,29.11,21.29,67.66,57,0,9.78,LY,1604513178
361,fortuna,40.6,-124.16,66.0,62,1,3.36,US,1604513178
362,najran,17.49,44.13,69.8,19,0,4.7,SA,1604513178
363,port hardy,50.7,-127.42,50.0,93,90,9.17,CA,1604513178
364,riyadh,24.69,46.72,75.2,27,0,3.36,SA,1604512928
365,dwarka,22.24,68.97,80.11,58,0,9.57,IN,1604513179
366,san rafael del sur,11.85,-86.44,78.8,78,75,11.41,NI,1604513179
367,richards bay,-28.78,32.04,74.26,84,66,11.36,ZA,1604513179
368,muhos,64.81,25.99,42.8,81,75,8.05,FI,1604513179
369,muzhi,65.37,64.67,37.67,93,95,16.15,RU,1604513179
370,bhubaneswar,20.23,85.83,73.4,78,0,2.3,IN,1604513179
371,belmonte,-15.86,-38.88,71.6,88,90,5.82,BR,1604513179
372,bollnas,61.35,16.39,40.17,74,24,8.79,SE,1604513179
373,caarapo,-22.63,-54.82,87.03,27,0,6.13,BR,1604513038
374,linares,-35.85,-71.6,74.77,50,99,8.99,CL,1604513120
375,bonfim,3.08,-59.95,94.17,43,88,4.29,BR,1604513179
376,maputo,-25.97,32.59,82.4,65,75,14.99,MZ,1604513178
377,nicoya,10.15,-85.45,78.8,88,75,10.29,CR,1604513100
378,balkhash,46.84,74.98,33.03,81,8,7.49,KZ,1604513179
379,galveston,29.37,-94.97,77.0,50,1,6.93,US,1604513180
380,husavik,66.04,-17.34,48.2,70,75,25.28,IS,1604513180
381,bardiyah,31.76,25.09,69.66,73,29,15.93,LY,1604513181
